clientId,educationalInstitutionId,clientName,trailId,trailName,trailDescription,trailThreadId,trailThreadName,sectorId,sectorName,sectorDescription,sectorItemId,sectorItemName,materialFile,examId
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,882,Módulo 02,O Papel do Professor no Ensino por Competências,1733,"Aula 02 Planejamento, como construí-lo",90107,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,882,Módulo 02,O Papel do Professor no Ensino por Competências,1734,Atividade Aula 02 M2 DCH,,960031
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,882,Módulo 02,O Papel do Professor no Ensino por Competências,1735,Aula 03 Como trabalhar o contrato didático em sala de aula,90108,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,882,Módulo 02,O Papel do Professor no Ensino por Competências,1736,Atividade Aula 03 M2 DCH,,960041
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,882,Módulo 02,O Papel do Professor no Ensino por Competências,1737,Aula 04 Como trabalhar as habilidades sugeridas do material SAS,90119,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,882,Módulo 02,O Papel do Professor no Ensino por Competências,1738,10 Ebook Módulo 02,90120,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,883,Módulo 03,Desenvolvendo Competências e Habilidades na Educação Infantil.,1739,Apresentação Inicial - Módulo 3,90141,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,883,Módulo 03,Desenvolvendo Competências e Habilidades na Educação Infantil.,1740,Aula 01 Desenvolvendo Competências e Habilidades na Educação Infantil,90142,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,883,Módulo 03,Desenvolvendo Competências e Habilidades na Educação Infantil.,1741,03 Ebook Módulo 03 - Educação Infantil.pdf,90143,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,883,Módulo 03,Desenvolvendo Competências e Habilidades na Educação Infantil.,1742,Atividade Discursiva M3 Educação Infantil,,960071
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,884,Módulo 3.2,Desenvolvendo Competências e Habilidades nos Anos Iniciais.,1743,Aula 02 Desenvolvendo Competencias e Habilidades no Fundamental Anos Iniciais - Parte1,90144,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,884,Módulo 3.2,Desenvolvendo Competências e Habilidades nos Anos Iniciais.,1744,Aula 02 Desenvolvendo Competências e Habilidades no Fundamental Anos Iniciais - Parte2,90145,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,884,Módulo 3.2,Desenvolvendo Competências e Habilidades nos Anos Iniciais.,1745,Ebook Módulo 03 - Anos Iniciais,90146,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,884,Módulo 3.2,Desenvolvendo Competências e Habilidades nos Anos Iniciais.,1747,Atividade Discursiva M3 Anos Iniciais,,960097
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,885,Módulo 3.3,Módulo 3 Desenvolvendo Competências e Habilidades nos Anos Finais,1748,Aula 03 Desenvolvendo Competências e Habilidades no Fundamental Anos Finais,90151,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,885,Módulo 3.3,Módulo 3 Desenvolvendo Competências e Habilidades nos Anos Finais,1749,Ebook Módulo 03 - Anos Finais,90192,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,885,Módulo 3.3,Módulo 3 Desenvolvendo Competências e Habilidades nos Anos Finais,1750,Atividade Discursiva M3 Anos Finais,,960136
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,886,Módulo 3.4,Desenvolvendo Competências e Habilidades no Ensino Médio,1751,Aula 04 Desenvolvendo Competências e Habilidades no Ensino Médio - Parte 1,90223,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,886,Módulo 3.4,Desenvolvendo Competências e Habilidades no Ensino Médio,1752,Aula 04 Desenvolvendo Competências e Habilidades no Ensino Médio - Parte 2,90224,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,886,Módulo 3.4,Desenvolvendo Competências e Habilidades no Ensino Médio,1753,Ebook M3 Ensino Médio,90225,
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,886,Módulo 3.4,Desenvolvendo Competências e Habilidades no Ensino Médio,1766,Atividade Discursiva M3 Ensino Médio,,960236
10307,11860,SAS - Focos,232,Desenvolvendo Competências e Habilidades na Educação Básica,Desenvolvendo Competências e Habilidades na Educação Básica,196,FOCOS Cursos,887,Pesquisa de Satisfação,Vamos avaliar o curso?,1767,Pesquisa de Satisfação,90238,
10307,11860,SAS - Focos,233,Socioemocional,Socioemocional,196,FOCOS Cursos,795,Módulo 01,teste,1392,NPS curso de avaliações,,952476
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1486,Aula 01: A formação em educação socioemocional e projeto de vida,89714,
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1487,Ebook 01 - Educação Socioemocional e projeto de vida,87266,
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1488,Aula 02: A importância do projeto de vida no novo Ensino Médio,89715,
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1489,Apresentação Módulo 01,89716,
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1490,Ebook: O papel do projeto de vida no novo ensino médio.pdf,89531,
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1491,"Aula 03: Projeto de vida, metodologias ativas e modelos híbridos de ensino-aprendizagem",89717,
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1492,Ebook Aula 03 Módulo 01 - Metodologias ativas e modelos híbridos (1).pdf,89534,
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1493,Atividade Aula 01 Módulo 01 Projeto de Vida,,950038
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1594,Atividade Aula 02 Módulo 01 Projeto de Vida,,955454
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,823,Módulo 01,Projeto de Vida,1595,Atividade Aula 03 Módulo 01 Projeto de Vida,,955524
10307,11860,SAS - Focos,251,Formação Projeto de Vida,Formação Projeto de Vida,196,FOCOS Cursos,824,Bem-vindo à formação do Projeto de Vida,Vamos começar?,1496,Bem-vindo à formação do Projeto de Vida,89718,
